survived;sex;age;n_siblings_spouses;parch;fare;class;deck;embark_town;alone
0;male;22.00;1;0;07.25;Third;unknown;Southampton;n
1;female;38.00.00;1;0;712.833;First;C;Cherbourg;n
1;female;26.00.00;0;0;7.925;Third;unknown;Southampton;y
1;female;35.00.00;1;0;53.01.00;First;C;Southampton;n
0;male;28.00.00;0;0;84.583;Third;unknown;Queenstown;y
0;male;02.00;3;1;21.075;Third;unknown;Southampton;n
1;female;27.00.00;0;2;111.333;Third;unknown;Southampton;n
1;female;14.00;1;0;300.708;Second;unknown;Cherbourg;n
1;female;04.00;1;1;16.07;Third;G;Southampton;n
0;male;20.00;0;0;08.05;Third;unknown;Southampton;y
0;male;39.00.00;1;5;31.275;Third;unknown;Southampton;n
0;female;14.00;0;0;78.542;Third;unknown;Southampton;y
0;male;02.00;4;1;29.125;Third;unknown;Queenstown;n
1;male;28.00.00;0;0;13.00;Second;unknown;Southampton;y
0;female;31.00.00;1;0;18.00;Third;unknown;Southampton;n
1;female;28.00.00;0;0;7.225;Third;unknown;Cherbourg;y
0;male;35.00.00;0;0;26.00.00;Second;unknown;Southampton;y
1;male;28.00.00;0;0;35.05.00;First;A;Southampton;y
1;female;38.00.00;1;5;313.875;Third;unknown;Southampton;n
0;male;28.00.00;0;0;7.225;Third;unknown;Cherbourg;y
0;male;19.00;3;2;263.00.00;First;C;Southampton;n
1;female;28.00.00;0;0;78.792;Third;unknown;Queenstown;y
0;male;28.00.00;0;0;78.958;Third;unknown;Southampton;y
0;male;40.00.00;0;0;277.208;First;unknown;Cherbourg;y
1;female;28.00.00;1;0;1.465.208;First;B;Cherbourg;n
1;female;28.00.00;0;0;0,34375;Third;unknown;Queenstown;y
0;male;66.00.00;0;0;10.05;Second;unknown;Southampton;y
0;male;28.00.00;1;0;821.708;First;unknown;Cherbourg;n
0;male;42.00.00;1;0;52.00.00;First;unknown;Southampton;n
1;male;28.00.00;0;0;72.292;Third;unknown;Cherbourg;y
1;female;14.00;1;0;112.417;Third;unknown;Cherbourg;n
0;female;40.00.00;1;0;9.475;Third;unknown;Southampton;n
0;female;27.00.00;1;0;21.00;Second;unknown;Southampton;n
0;male;28.00.00;0;0;78.958;Third;unknown;Cherbourg;y
1;female;03.00;1;2;415.792;Second;unknown;Cherbourg;n
0;male;28.00.00;0;0;08.05;Third;unknown;Southampton;y
0;male;28.00.00;1;0;15.05;Third;unknown;Queenstown;n
0;male;28.00.00;2;0;216.792;Third;unknown;Cherbourg;n
0;female;18.00;1;0;17.08;Third;unknown;Southampton;n
0;male;07.00;4;1;396.875;Third;unknown;Southampton;n
1;female;49.00.00;1;0;767.292;First;D;Cherbourg;n
1;female;29.00.00;1;0;26.00.00;Second;unknown;Southampton;n
0;male;65.00.00;0;1;619.792;First;B;Cherbourg;n
1;male;28.00.00;0;0;35.05.00;First;C;Southampton;y
1;female;21.00;0;0;10.05;Second;unknown;Southampton;y
0;male;28.05.00;0;0;72.292;Third;unknown;Cherbourg;y
0;male;11.00;5;2;46.09.00;Third;unknown;Southampton;n
0;male;22.00;0;0;72.292;Third;unknown;Cherbourg;y
1;female;38.00.00;0;0;80.00.00;First;B;unknown;y
0;male;45.00.00;1;0;83.475;First;C;Southampton;n
